Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
16/03/2020,,,2.18434495329232,2.18434495329232,,,,,,2976.0208464185,20357.1199677708,0,0,1240.41004955074,6801.78390636706,6808.52299023731,6809.68390636706,6633
17/03/2020,,,2.0774120148857,2.0774120148857,,,,,,2831.42613590767,23188.5461036785,0,0,1166.80835756057,7943.77904755474,7979.8460991945,7951.67904755474,7730
18/03/2020,,,1.9810645300119,1.9810645300119,,,,,,2631.60769403904,25820.1537977175,0,0,1981.15193483709,9184.18909710549,9277.78232048748,9192.08909710549,9134
19/03/2020,,,1.89277101845523,1.89277101845523,,,,,,2709.48343174924,28529.6372294668,0,0,2025.30128942287,10350.9974546661,10753.9617665323,10358.8974546661,10995
20/03/2020,1.81,,1.81,1.81,,,,,,2423.94170106537,30953.5789305322,0,0,3015.74844242631,12332.1493895031,12612.0513139789,12340.0493895031,12612
21/03/2020,,,1.73021999443052,1.73021999443052,,,,,,3924.78982667021,34878.3687572024,0,0,2976.0208464185,14357.450678926,14853.3059352246,14365.350678926,14282
22/03/2020,,,1.6508995215311,1.6508995215311,,,,,,3833.43158425962,38711.800341462,0,0,2831.42613590767,17373.1991213523,17474.1713865617,17381.0991213523,16481
23/03/2020,,,1.56950710108605,1.56950710108605,,,,,,5458.50468079163,44170.3050222536,0,0,2631.60769403904,20349.2199677708,20242.7017499616,20357.1199677708,19615
24/03/2020,,,1.48351125287967,1.48351125287967,,,,,,5149.17077231533,49319.475794569,0,0,2709.48343174924,23180.6461036785,23071.2056009155,23188.5461036785,22025
25/03/2020,,,1.39038049669629,1.39038049669629,,,,,,4674.40005302063,53993.8758475896,0,0,2423.94170106537,25812.2537977175,25781.8544990651,25820.1537977175,25233
26/03/2020,,,1.28758335232019,1.28758335232019,,,,,,4130.32696306696,58124.2028106565,0,0,3924.78982667021,28521.7372294668,28604.4983445984,28529.6372294668,29155
27/03/2020,,,1.17258833953571,1.17258833953571,,,,,,4019.54916049103,62143.7519711476,0,0,3833.43158425962,30945.6789305322,31642.2601400354,30953.5789305322,32964
28/03/2020,,,1.04286397812714,1.04286397812714,,,,,,3370.20126629012,65513.9532374377,0,0,5458.50468079163,34870.4687572024,35271.3498105881,34878.3687572024,37575
29/03/2020,,,0.895878787878788,0.895878787878788,,,,,,5053.49404217623,70567.4472796139,0,0,5149.17077231533,38703.900341462,39459.195153887,38711.800341462,40174
30/03/2020,,,0.729101288574973,0.729101288574973,,,,,,4495.03717611072,75062.4844557246,0,0,4674.40005302063,44162.4050222536,44172.0669790494,44170.3050222536,44550
